"filename", "language", "C#", "comment", "blank", "total"
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\! ScriptableObjects\ShopData.cs", "C#", 15, 0, 1, 16
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\! ScriptableObjects\TasksData.cs", "C#", 36, 0, 6, 42
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\! ScriptableObjects\TransitionData.cs", "C#", 12, 0, 1, 13
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\! ScriptableObjects\TutorialData.cs", "C#", 27, 0, 5, 32
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\! ScriptableObjects\ValuesData.cs", "C#", 16, 0, 1, 17
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\! Tests\TestRandom\RandomMaster.cs", "C#", 116, 0, 18, 134
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Board\BoardDoubleTap.cs", "C#", 415, 19, 90, 524
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Board\BoardIndication.cs", "C#", 343, 30, 73, 446
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Board\BoardInitialization.cs", "C#", 191, 25, 57, 273
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Board\BoardInteractions.cs", "C#", 639, 95, 170, 904
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Board\BoardManager.cs", "C#", 868, 44, 188, 1100
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Board\BoardSelection.cs", "C#", 130, 23, 27, 180
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Board\Item.cs", "C#", 588, 13, 130, 731
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\AddressableManager.cs", "C#", 161, 13, 36, 210
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\BonusManger.cs", "C#", 77, 6, 13, 96
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\DailyData.cs", "C#", 85, 8, 19, 112
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\DataConverter.cs", "C#", 928, 24, 197, 1149
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\DataManager.cs", "C#", 857, 47, 147, 1051
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\GameData.cs", "C#", 602, 30, 139, 771
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\ItemHandler.cs", "C#", 467, 12, 70, 549
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\ResetHandler.cs", "C#", 182, 12, 35, 229
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Data\UIData.cs", "C#", 148, 11, 39, 198
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\BoardItemMenu.cs", "C#", 437, 17, 124, 578
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\BoardViewer.cs", "C#", 240, 22, 75, 337
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\CharacterSetter.cs", "C#", 105, 1, 29, 135
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\LocaleCombiner.cs", "C#", 103, 1, 28, 132
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\Logs.cs", "C#", 362, 16, 98, 476
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\ScriptTemplate.cs", "C#", 74, 10, 20, 104
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\TestBoard\TestBoardInit.cs", "C#", 234, 32, 73, 339
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\TestBoard\TestBoardInteractions.cs", "C#", 640, 94, 171, 905
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Debug\TestBoard\TestBoardManager.cs", "C#", 860, 54, 190, 1104
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\ErrorManager.cs", "C#", 111, 8, 25, 144
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\FeedbackManager.cs", "C#", 378, 18, 114, 510
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\GameRefs.cs", "C#", 140, 7, 41, 188
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\LoadingManager.cs", "C#", 337, 33, 67, 437
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\LocaleManager.cs", "C#", 62, 6, 16, 84
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\ProgressManager.cs", "C#", 361, 20, 67, 448
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\SceneLoader.cs", "C#", 106, 10, 33, 149
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\Settings.cs", "C#", 226, 6, 71, 303
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\SoundManager.cs", "C#", 219, 8, 45, 272
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Managers\TaskManager.cs", "C#", 668, 71, 144, 883
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\ConfirmMenu.cs", "C#", 89, 8, 21, 118
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\ConflictMenu.cs", "C#", 69, 10, 19, 98
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\DebugMenu.cs", "C#", 259, 15, 50, 324
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\EnergyMenu.cs", "C#", 129, 11, 32, 172
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\FollowMenu.cs", "C#", 97, 12, 29, 138
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\InfoMenu.cs", "C#", 348, 21, 82, 451
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\InputMenu.cs", "C#", 110, 12, 32, 154
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\InventoryMenu.cs", "C#", 340, 21, 86, 447
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\LevelMenu.cs", "C#", 283, 12, 79, 374
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\LocaleMenu.cs", "C#", 123, 12, 28, 163
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\MenuUtilities.cs", "C#", 50, 7, 8, 65
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\MessageMenu.cs", "C#", 116, 11, 27, 154
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\NoteMenu.cs", "C#", 70, 9, 24, 103
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\RateMenu.cs", "C#", 136, 14, 45, 195
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\SettingsMenu.cs", "C#", 326, 22, 88, 436
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\ShopMenu.cs", "C#", 599, 41, 132, 772
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\SupportMenu.cs", "C#", 31, 10, 9, 50
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\TaskMenu.cs", "C#", 271, 22, 68, 361
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\TermsMenu.cs", "C#", 95, 10, 22, 127
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\UpdateMenu.cs", "C#", 68, 15, 21, 104
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Menus\ValuePop.cs", "C#", 259, 39, 94, 392
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\DoorPH.cs", "C#", 23, 1, 3, 27
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\FilthPH.cs", "C#", 9, 1, 2, 12
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\FloorPH.cs", "C#", 9, 1, 2, 12
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\FurniturePH.cs", "C#", 9, 1, 2, 12
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\LockedOverlayPH.cs", "C#", 9, 1, 1, 11
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\NavPH.cs", "C#", 9, 1, 1, 11
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\PropsPH.cs", "C#", 9, 1, 2, 12
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\WallLeftPH.cs", "C#", 9, 1, 2, 12
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Placeholders\WallRightPH.cs", "C#", 9, 1, 2, 12
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Services\AdsManager.cs", "C#", 277, 26, 61, 364
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Services\AnalyticsManager.cs", "C#", 169, 9, 33, 211
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Services\AuthManager.cs", "C#", 651, 27, 105, 783
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Services\CloudSave.cs", "C#", 665, 45, 116, 826
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Services\NotificsManager.cs", "C#", 286, 14, 77, 377
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Services\PaymentsManager.cs", "C#", 314, 25, 57, 396
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Services\Services.cs", "C#", 133, 4, 34, 171
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Timers\EnergyTimer.cs", "C#", 162, 7, 48, 217
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Timers\TimeManager.cs", "C#", 467, 13, 126, 606
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Tutorial\PointerHandler.cs", "C#", 360, 12, 112, 484
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Tutorial\TutorialCycle.cs", "C#", 147, 15, 60, 222
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Tutorial\TutorialManager.cs", "C#", 637, 14, 139, 790
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\ClockManager.cs", "C#", 133, 3, 35, 171
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\InfoBox.cs", "C#", 483, 14, 104, 601
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\LoadingAnimationsHandler.cs", "C#", 84, 7, 37, 128
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\LoadingSceneUI.cs", "C#", 202, 24, 66, 292
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\MenuUI.cs", "C#", 453, 47, 129, 629
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\MergeUI.cs", "C#", 358, 21, 71, 450
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\NoteDotHandler.cs", "C#", 95, 6, 20, 121
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\SafeAreaHandler.cs", "C#", 85, 7, 24, 116
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\TransitionUI.cs", "C#", 111, 6, 25, 142
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\UIButtons.cs", "C#", 86, 2, 9, 97
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\ValuesUI.cs", "C#", 434, 9, 119, 562
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\World\ConvoUIHandler.cs", "C#", 421, 10, 111, 542
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\World\SelectorUIHandler.cs", "C#", 136, 10, 36, 182
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\World\SpeechBubble.cs", "C#", 324, 34, 78, 436
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\World\WorldGameUI.cs", "C#", 9, 1, 2, 12
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\UI\World\WorldUI.cs", "C#", 351, 13, 69, 433
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Utilites\Glob.cs", "C#", 211, 8, 54, 273
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Utilites\HtmlHandler.cs", "C#", 223, 11, 37, 271
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Utilites\Locale.cs", "C#", 211, 11, 46, 268
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Utilites\PopupManager.cs", "C#", 122, 18, 39, 179
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\Utilites\SimpleJSON.cs", "C#", 1169, 6, 145, 1320
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\AreaOrderSetter.cs", "C#", 11, 1, 2, 14
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\AreaRefs.cs", "C#", 162, 2, 48, 212
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\AreaSetter.cs", "C#", 38, 1, 7, 46
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\ChangeFloor.cs", "C#", 286, 24, 77, 387
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\ChangeFurniture.cs", "C#", 201, 19, 44, 264
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\ChangeProp.cs", "C#", 209, 19, 48, 276
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\ChangeWall.cs", "C#", 410, 30, 75, 515
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\RemoveFilth.cs", "C#", 167, 17, 62, 246
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Areas\RoomHandler.cs", "C#", 306, 5, 70, 381
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\CameraMotion.cs", "C#", 150, 3, 48, 201
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\CameraPan.cs", "C#", 453, 17, 86, 556
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\CameraPinch.cs", "C#", 248, 15, 58, 321
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Characters\CharMain.cs", "C#", 118, 8, 33, 159
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Characters\CharMove.cs", "C#", 234, 22, 71, 327
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Characters\CharOrderSetter.cs", "C#", 98, 2, 22, 122
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Characters\CharRoam.cs", "C#", 113, 9, 35, 157
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Characters\CharSpeech.cs", "C#", 198, 6, 55, 259
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\DoorManager.cs", "C#", 97, 5, 26, 128
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\NavMeshManager.cs", "C#", 70, 6, 15, 91
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\OrderSetter.cs", "C#", 152, 11, 32, 195
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\PreMansionHandler.cs", "C#", 242, 32, 70, 344
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\RootBlocksHandler.cs", "C#", 132, 2, 34, 168
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Selectables\Selectable.cs", "C#", 219, 6, 54, 279
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Selectables\SelectableSpeech.cs", "C#", 49, 4, 8, 61
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\Selector.cs", "C#", 263, 9, 94, 366
"d:\Dev\Merge\Projects\pixel-mansion-merge-mystery\Assets\Scripts\World\WorldDataManager.cs", "C#", 607, 40, 134, 781
"Total", "-", 32085, 1987, 7496, 41568
